year,month,prize
2008,8,0.63435644
2008,12,0.33411926
2008,3,0.2807305
2006,9,0.88099134
2007,9,0.32500988
2007,6,0.09021628
2006,5,0.28337932
2007,2,0.05170393
2008,11,0.45001775
2008,4,0.56998855
2007,7,0.97464484
2007,1,0.5462126
2006,10,0.7141949
2007,4,0.9896522
2008,2,0.31755972
2007,10,0.29571927
2006,12,0.5706685
2006,7,0.49666536
2006,2,0.28746015
2007,11,0.5090714
2008,1,0.65594685
2008,10,0.576796
2006,1,0.41250223
2008,9,0.05364716
2006,6,0.44594336
2007,3,0.5307202
2007,8,0.025436878
2006,11,0.754548
2007,5,0.52039963
2008,7,0.44095975
2006,4,0.9017095
2008,6,0.19263881
2008,5,0.7401886
2006,8,0.24864453
2007,12,0.15819025
2006,3,0.5188952
